,0,1,2,3,4,5
0,,Channel Info ,Category , Subscribers  ,  Avg.Views    , NoxScore
1,    -   ,   T-Series ,  Music  , 155M ↑  0.7% ,  2.76M   ↑   9.7% ,
2,    -   ,   PewDiePie ,  Entertainment  , 107M   -   ,  5.22M   ↑   6% ,
3,    -   ,   Cocomelon - Nursery Rhymes ,  Education  , 94.4M ↑  0.6% ,  36.89M   ↑   1.9% ,
4, 4     -   ,   SET India ,  Entertainment  , 83.9M ↑  1.1% ,  10.1K    ↓     46.6% ,
5, 5     -   ,   5-Minute Crafts ,  Howto & Style  , 68.6M ↑  0.3% ,  1.68M   ↑   29% ,
6, 6     -   ,   WWE ,  Sports  , 66.8M ↑  0.6% ,  190.3K    ↓     36% ,
7, 7     -   ,   ✿ Kids Diana Show ,  Entertainment  , 64.2M ↑  0.9% ,  19.8M    ↓     29.5% ,
8, 8     -   ,   Zee Music Company ,  Music  , 62.3M ↑  0.7% ,  269.15K    ↓     65.5% ,
9, 9     -   ,   Like Nastya ,  Entertainment  , 61.2M ↑  0.8% ,  33.52M    ↓     2.1% ,
10, 10     -   ,   Canal KondZilla ,  Music  , 60.6M ↑  0.3% ,  312.45K    ↓     4.9% ,
11, 11     -   ,   Justin Bieber ,  Music  , 57.2M ↑  0.4% ,  3.52M    ↓     7.9% ,
12, 12     -   ,   Dude Perfect ,  Sports  , 53.5M ↑  0.2% ,  23.17M   ↑   2.6% ,
13, 13     -   ,   Vlad and Niki ,  Entertainment  , 53.5M ↑  1.3% ,  63.03M    ↓     2.3% ,
14, 14     -   ,   Zee TV ,  Entertainment  , 51.3M ↑  0.6% ,  595.05K    ↓     29.3% ,
15, 15   ↑   1  ,   BLACKPINK ,  Music  , 48.8M ↑  1.2% ,  18.88M    ↓     59.6% ,
16, 16     ↓    1  ,   Marshmello ,  Music  , 48.7M ↑  0.4% ,  2.93M   ↑   7.8% ,
17, 17     -   ,   Ed Sheeran ,  Music  , 45.6M ↑  0.2% ,  32.86M   ↑   0.4% ,
18, 18   ↑   1  ,   Big Hit Labels ,  Music  , 44.5M ↑  0.7% ,  27.79M   ↑   4.5% ,
19, 19     ↓    1  ,   EminemMusic ,  Music  , 44.5M ↑  0.2% ,  20.07M   ↑   0.4% ,
20, 20     -   ,   Movieclips ,  Film & Animation  , 44.3M ↑  0.7% ,  18.25K    ↓     65% ,
21, 21     -   ,   MrBeast ,  Entertainment  , 43.9M ↑  0.9% ,  36.37M   ↑   5.1% ,
22, 22     -   ,   Badabun ,  Entertainment  , 43.4M ↑  0.2% ,  59.22K    ↓     0.7% ,
23, 23     -   ,   Ariana Grande ,  Music  , 43.3M ↑  0.2% ,  797.1K   ↑   1.4% ,
24, 24     -   ,   Shemaroo Filmi Gaane ,  Music  , 42M ↑  0.7% ,  74.97K    ↓     9.8% ,
25, 25   ↑   1  ,   Goldmines Telefilms ,  Film & Animation  , 41.9M ↑  1% ,  366.87K    ↓     8.3% ,
26, 26   ↑   1  ,   Aaj Tak ,  News & Politics  , 41.6M ↑  0.2% ,  8.45K    ↓     51.8% ,
27, 27     ↓    2  ,   HolaSoyGerman. ,  Entertainment  , 41.6M   -   ,  32.42M   ↑   0.1% ,
28, 28     -   ,   JuegaGerman ,  Entertainment  , 41.4M ↑  0.2% ,  3.26M   ↑   3% ,
29, 29     -   ,   whinderssonnunes ,  Comedy  , 40.9M ↑  0.3% ,  7.06M   ↑   0.6% ,
30, 30     -   ,   ChuChu TV Nursery Rhymes & Kids Songs ,  Education  , 40.4M ↑  0.8% ,  3.87M   ↑   5.3% ,
31, 31     -   ,   Taylor Swift ,  Music  , 39.9M ↑  0.3% ,  3.5M   ↑   0.2% ,
32, 32     -   ,   Felipe Neto ,  Entertainment  , 39.6M ↑  0.3% ,  2.44M   ↑   13% ,
33, 33   ↑   2  ,   Pinkfong! Kids' Songs & Stories ,  Education  , 38.8M ↑  0.8% ,  1.11M    ↓     0.6% ,
34, 34     ↓    1  ,   elrubiusOMG ,  Entertainment  , 38.7M ↑  0.3% ,  11.53M   ↑   0.8% ,
35, 35   ↑   1  ,   Sony Music India ,  Music  , 38.7M ↑  0.5% ,  6.67M    ↓     9.2% ,
36, 36     ↓    2  ,   Katy Perry ,  Music  , 38.6M   -   ,  972.16K   ↑   0.1% ,
37, 37     -   ,   Wave Music ,  Music  , 38.2M ↑  0.8% ,  602.53K   ↑   40.8% ,
38, 38     -   ,   Fernanfloo ,  Gaming  , 37.9M ↑  0.3% ,  21.6M   ↑   0.2% ,
39, 39   ↑   1  ,   SAB TV ,  Entertainment  , 37.9M ↑  1.1% ,  61.9K   ↑   14.2% ,
40, 40     ↓    1  ,   TheEllenShow ,  Entertainment  , 37.6M   -   ,  165.5K    ↓     62.5% ,
41, 41   ↑   2  ,   BANGTANTV ,  Music  , 37.4M ↑  1.4% ,  6.86M   ↑   1.2% ,
42, 42     -   ,   Você Sabia? ,  Entertainment  , 37.3M ↑  0.5% ,  2.84M    ↓     5.2% ,
43, 43     ↓    2  ,   El Reino Infantil ,  Music  , 37.2M ↑  0.3% ,  1.41M   ↑   13.2% ,
44, 44     -   ,   BRIGHT SIDE ,  Howto & Style  , 36.7M ↑  0.3% ,  243.45K    ↓     6.3% ,
45, 45     -   ,   Alan Walker ,  Music  , 36.5M ↑  0.3% ,  7.86M   ↑   1.4% ,
46, 46     -   ,   Rihanna ,  Entertainment  , 35.4M ↑  0.3% ,  775.31K   ↑   0.4% ,
47, 47     -   ,   LooLoo Kids - Nursery Rhymes and Children's Songs ,  Music  , 34.3M ↑  0.6% ,  16.56M   ↑   2.9% ,
48, 48     -   ,   Billie Eilish ,  Music  , 34M ↑  0.6% ,  25.5M    ↓     1.1% ,
49, 49   ↑   1  ,   YRF ,  Film & Animation  , 33.8M ↑  0.6% ,  2.49M    ↓     5.7% ,
50, 50     ↓    1  ,   One Direction ,  Music  , 33.7M ↑  0.3% ,  1.72M   ↑   0.4% ,
